trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
108,8,32,256,8,7,672,0.007586239912927409,347.83238105346555,20.12142055952515,171495.1923082264,414.11978014606643,-0.3306444147738419,76.206607,2025-11-19T18:03:28
109,12,32,256,16,5,533,0.006737959820535763,360.71104316284055,20.965813958633383,182792.8682734796,427.5428262449033,-0.418303953334374,43.952517,2025-11-19T18:04:49
110,8,32,256,16,6,510,0.00516990118028588,347.5697039357968,20.104023255648286,171270.91350097404,413.84890177572544,-0.32890421822252347,49.202922,2025-11-19T18:05:36
111,8,32,256,16,5,652,0.005933282522268787,344.1744199188697,19.868641044744486,167981.8933825648,409.85594223161485,-0.3033844576290359,52.281587,2025-11-19T18:06:27
112,8,32,256,4,5,764,0.00649372626323839,352.81114081909055,20.447854458181368,175705.4320490636,419.1723178468058,-0.3633119894189367,63.563662,2025-11-19T18:07:22
113,8,32,256,8,5,638,0.005574232034967587,343.5463885061093,19.825101598770427,167388.08805023792,409.13089354170984,-0.29877707628913464,53.044995,2025-11-19T18:08:28
114,8,32,256,16,3,664,0.009243295206930735,490.0762749059998,28.949387265590392,325685.6687843157,570.6887670037984,-1.5270202056792286,35.463685,2025-11-19T18:09:24
115,8,32,512,8,6,604,0.005198631663682571,343.87056656600515,19.847576039981636,167694.02409262778,409.5046081457787,-0.30115085762145566,57.740702,2025-11-19T18:10:02
116,8,32,512,8,7,491,0.005106563464865007,348.04612617065305,20.13543482315843,171671.86979187894,414.3330421193547,-0.3320152689865712,52.869324,2025-11-19T18:11:01
117,8,32,256,8,6,649,0.00508873662284801,346.0803443980364,20.00077158683915,169811.81681685438,412.08229374343955,-0.31758297459343465,62.462623,2025-11-19T18:11:56
118,8,32,256,4,7,695,0.00557012325916209,343.4655983042864,19.819501120677682,167312.01240561085,409.037910719301,-0.29818679949909255,79.459396,2025-11-19T18:13:01
119,8,32,512,16,7,432,0.005379262204570034,345.7641822886614,19.978853262499367,169505.36694784812,411.7102949257501,-0.31520520644079486,47.424261,2025-11-19T18:14:22
120,12,32,512,16,6,546,0.005484030438248391,362.35594062377805,21.07366216106541,184331.3969848979,429.33832461695977,-0.4302415161853401,54.197008,2025-11-19T18:15:12
121,8,32,256,16,9,426,0.0035160424615845206,364.39924506713743,21.20762746762169,186272.607542658,431.59310414168806,-0.44530351851798256,60.067889,2025-11-19T18:16:09
122,8,16,256,16,7,584,0.005370794985614926,428.44399460314304,25.266901220948775,254050.19101111658,504.03391851255066,-0.9711950124735604,131.265385,2025-11-19T18:17:12
123,12,32,256,8,7,592,0.006178264822332489,363.48643378784055,21.147783289282327,185401.33604889837,430.58255427838503,-0.43854325584636666,69.65216,2025-11-19T18:19:26
124,8,32,512,8,7,556,0.007422271830170904,347.1484596324114,20.074819979878967,170855.6369784261,413.34687246721256,-0.32568205567745356,62.218085,2025-11-19T18:20:37
125,12,32,256,16,6,592,0.01,457.23136523803106,27.03358624576787,288747.8656664126,537.3526455377443,-1.2404169443789645,59.18665,2025-11-19T18:21:41
126,8,32,512,16,5,559,0.005359540446664885,358.46763495971555,20.818724217312734,180729.42427379984,425.12283433591267,-0.402293532304975,44.972383,2025-11-19T18:22:44
127,8,32,256,8,6,553,0.005363410199207615,344.15204036157803,19.867089554604604,167960.6548076428,409.8300316077908,-0.3032196658892947,54.7213,2025-11-19T18:23:31
